Gaussian Mixture: c=10000, variance=0.01
Data dimension: 300
Queries per class: 1
Gallery examples per class: 1
Generating data ...
Done data generation
NN test accuracy (top-[1, 5, 10]): [51.71, 71.88, 78.51]%
ISF test accuracy (top-[1, 5, 10]): [73.75, 88.57000000000001, 92.36]%
HNN primal test accuracy (top-[1, 5, 10]): [78.85, 91.43, 94.6]%
Running HNN dual ...
Iter: 1, grad norm: 0.02049304591898698, time: 5.298393487930298
Iter: 2, grad norm: 0.012168577775657042, time: 5.29358696937561
Iter: 3, grad norm: 0.010513795170767505, time: 5.294527053833008
Iter: 4, grad norm: 0.009469548183756655, time: 5.303637504577637
Iter: 5, grad norm: 0.008706828533317008, time: 5.416954517364502
Iter: 6, grad norm: 0.008106549584470237, time: 5.334410667419434
Iter: 7, grad norm: 0.00761193555937265, time: 5.566524028778076
Iter: 8, grad norm: 0.0071915006844690725, time: 5.329928159713745
Iter: 9, grad norm: 0.0068259829247714595, time: 5.602751016616821
Iter: 10, grad norm: 0.006502747614752871, time: 5.568150520324707
Iter: 11, grad norm: 0.006213061098170924, time: 5.523707389831543
Iter: 12, grad norm: 0.005950633893883609, time: 5.763021230697632
Iter: 13, grad norm: 0.005710785533570923, time: 5.450110197067261
Iter: 14, grad norm: 0.0054899382463041695, time: 5.563399791717529
Iter: 15, grad norm: 0.005285295604067212, time: 5.585659027099609
Iter: 16, grad norm: 0.005094630586297899, time: 5.460267066955566
Iter: 17, grad norm: 0.0049161411750701985, time: 5.621906757354736
Iter: 18, grad norm: 0.0047483491636886085, time: 5.429682731628418
Iter: 19, grad norm: 0.004590027507006994, time: 5.606417179107666
Iter: 20, grad norm: 0.004440147065136313, time: 5.421689033508301
Iter: 21, grad norm: 0.00429783686537859, time: 5.647897958755493
Iter: 22, grad norm: 0.004162354000457963, time: 5.540775775909424
Iter: 23, grad norm: 0.0040330605233119595, time: 5.469043731689453
Iter: 24, grad norm: 0.003909405491712376, time: 5.5269787311553955
Iter: 25, grad norm: 0.0037909108378730632, time: 5.62189793586731
Iter: 26, grad norm: 0.0036771600952206053, time: 5.659871578216553
Iter: 27, grad norm: 0.003567789269263683, time: 5.410915851593018
Iter: 28, grad norm: 0.0034624793278691655, time: 5.354222536087036
Iter: 29, grad norm: 0.0033609499283039396, time: 5.355892896652222
Iter: 30, grad norm: 0.0032629541055289794, time: 5.328114986419678
Iter: 31, grad norm: 0.0031682737255787283, time: 5.284228086471558
Iter: 32, grad norm: 0.0030767155647696263, time: 5.369842290878296
Iter: 33, grad norm: 0.002988107914650583, time: 5.374161243438721
Iter: 34, grad norm: 0.002902297638418437, time: 5.322846174240112
Iter: 35, grad norm: 0.002819147620961311, time: 5.338716745376587
Iter: 36, grad norm: 0.002738534565122807, time: 5.2971813678741455
Iter: 37, grad norm: 0.002660347093739174, time: 5.303626537322998
Iter: 38, grad norm: 0.002584484122151213, time: 5.330670356750488
Iter: 39, grad norm: 0.002510853470113253, time: 5.348775148391724
Iter: 40, grad norm: 0.002439370685619874, time: 5.3155741691589355
Iter: 41, grad norm: 0.002369958056126692, time: 5.29702091217041
Iter: 42, grad norm: 0.0023025437848306685, time: 5.484163522720337
Iter: 43, grad norm: 0.002237061311030698, time: 5.587563991546631
Iter: 44, grad norm: 0.0021734487541831852, time: 5.4338579177856445
Iter: 45, grad norm: 0.0021116484613240482, time: 5.33711838722229
Iter: 46, grad norm: 0.002051606637383894, time: 5.298387765884399
Iter: 47, grad norm: 0.0019932730379551224, time: 5.318512439727783
Iter: 48, grad norm: 0.0019366007046233617, time: 5.350923538208008
Iter: 49, grad norm: 0.0018815457242995774, time: 5.333978891372681
Iter: 50, grad norm: 0.001828066996197045, time: 5.386187553405762
Iter: 51, grad norm: 0.0017761259931579048, time: 5.306491374969482
Iter: 52, grad norm: 0.001725686507787206, time: 5.291333198547363
Iter: 53, grad norm: 0.0016767143780438553, time: 5.323259115219116
Iter: 54, grad norm: 0.0016291771912611691, time: 5.291922092437744
Iter: 55, grad norm: 0.0015830439697069685, time: 5.285800457000732
Iter: 56, grad norm: 0.0015382848444483867, time: 5.312145233154297
Iter: 57, grad norm: 0.0014948707272085854, time: 5.296992063522339
Iter: 58, grad norm: 0.001452772991899557, time: 5.282884836196899
Iter: 59, grad norm: 0.001411963178462934, time: 5.322026252746582
Iter: 60, grad norm: 0.0013724127314987183, time: 5.40494966506958
Iter: 61, grad norm: 0.0013340927849376093, time: 5.357342004776001
Iter: 62, grad norm: 0.0012969740018236836, time: 5.426781177520752
Iter: 63, grad norm: 0.0012610264753055637, time: 5.366101503372192
Iter: 64, grad norm: 0.0012262196934376213, time: 5.360031604766846
Iter: 65, grad norm: 0.0011925225666673284, time: 5.328844308853149
Iter: 66, grad norm: 0.0011599035132490631, time: 5.82169246673584
Iter: 67, grad norm: 0.001128330594583657, time: 5.447536945343018
Iter: 68, grad norm: 0.0010977716898962024, time: 5.358220815658569
Iter: 69, grad norm: 0.00106819469791927, time: 5.651524066925049
Iter: 70, grad norm: 0.001039567752443286, time: 5.394652366638184
Iter: 71, grad norm: 0.001011859438736095, time: 5.417642831802368
Iter: 72, grad norm: 0.0009850389988404521, time: 5.321562051773071
Iter: 73, grad norm: 0.0009590765154836695, time: 5.383841514587402
Iter: 74, grad norm: 0.0009339430665844719, time: 5.3375115394592285
Iter: 75, grad norm: 0.0009096108449023017, time: 5.281911849975586
Iter: 76, grad norm: 0.0008860532400275923, time: 5.3589959144592285
Iter: 77, grad norm: 0.0008632448824588417, time: 5.340254545211792
Iter: 78, grad norm: 0.0008411616517849262, time: 5.314245939254761
Iter: 79, grad norm: 0.000819780652858593, time: 5.330374717712402
Iter: 80, grad norm: 0.0007990801652212073, time: 5.318539381027222
Iter: 81, grad norm: 0.0007790395718744981, time: 5.33213472366333
Iter: 82, grad norm: 0.0007596392737888478, time: 5.288164854049683
Iter: 83, grad norm: 0.0007408605963251789, time: 5.31471848487854
Iter: 84, grad norm: 0.0007226856930990973, time: 5.309976577758789
Iter: 85, grad norm: 0.0007050974518313336, time: 5.291932582855225
Iter: 86, grad norm: 0.0006880794055288897, time: 5.312787055969238
Iter: 87, grad norm: 0.0006716156510598285, time: 5.311725854873657
Iter: 88, grad norm: 0.0006556907759545118, time: 5.308481693267822
Iter: 89, grad norm: 0.0006402897932076746, time: 5.306398391723633
Iter: 90, grad norm: 0.0006253980830641372, time: 5.282318115234375
Iter: 91, grad norm: 0.0006110013403059338, time: 5.345008373260498
Iter: 92, grad norm: 0.0005970855254387884, time: 5.3250391483306885
Iter: 93, grad norm: 0.0005836368183780876, time: 5.387415647506714
Iter: 94, grad norm: 0.0005706415736994585, time: 5.297644138336182
Iter: 95, grad norm: 0.0005580862771607731, time: 5.66264009475708
Iter: 96, grad norm: 0.0005459575039213188, time: 5.3457722663879395
Iter: 97, grad norm: 0.0005342418795797147, time: 5.552456855773926
Iter: 98, grad norm: 0.0005229260457356191, time: 5.46913743019104
Iter: 99, grad norm: 0.0005119966321810031, time: 5.395427942276001
Iter: 100, grad norm: 0.0005014402379980857, time: 5.350436687469482
HNN dual test accuracy (top-[1, 5, 10]): [78.84, 91.41, 94.59]%
